ID,MATANITU ,YASANA ,TIKINA          ,KORO                                                                    ,NA_I_CAVUTI ,,Needs accuracy check
844,,,,WAIRIKI,VAKATURAGA I RAVIRAVI VUA NA TUI WAIRIKI,,
845,,,,YADUA,VAKATUARAGA I RAVIRAVI VUA  NA BULI RAVIRAVI,,
846,,,LEKUTU ,NAMUAVOIVOI,VAKATURAGA I BURENITU VUA NA TUI LEKUTU VANUA ,,
847,,,,BANIKEA,VAKATURAGA I BURENITU VUA NA TURAGA NI QELE,,
848,,,,KAVULA,VAKATURAGA I ROKORA VUA NA TUI WAINUNU,,
849,,,,VOTUA,VAKATURAGA I NA VANUA I BURENITU VUA NA BULI LEKUTU,,
850,,,,TAVEA,VAKATURAGA I BURENITU VUA NA TURAGA NA TUNIDAU,,
851,,,,GALOA,VAKATURAGA INAITA I GALOA VUA NA TURAGA NI QELE,,
852,,,,NASAROWAQA,VAKATURAGA I RACIVO VUA NA TURAGA NI QELE,,
853,,,,YAQAGA,VAKATURAGA INAITA YAQAGA VUA NA TURAGA NI QELE,,
854,,,KUBULAU ,NAMALATA,VAKATURAGA I NASUVA VUA NA TUNIVANUA,,
855,,,,NAVATU,VAKATURAGA I NASUVA VUA NA TUNIVANUA,,
856,,,,RAVIRAVI,VAKATURAGA INA VANUA NA MASI ROKOWAQA,,
857,,,,KIOBO,VAKATURAGA I KOROALAU VUA NA TUI KUBULAU,,
858,,,,WAISA,VAKATURAGA I NASUVA RUA VUA NA MASI TABUTABU,,
859,,,,NASASAVUA,VAKATURAGA I KUBULAU VUA NA TUI KUBULAU VUA NA TUI KUBULAU,,
860,,,,NATOKALAU,VAKATURAGA SAKA I NAYAVAYAVASE VUA NA TUI NARO ,,
861,,,,NAKOROVOU,VAKATURAGA INAITAUBA VUA NA TUI NADI,,
862,,,,NADIVAKARUA,VAKATURAGA INAITAUBA VUA NA TUI NADI,,
863,,,,KILAKA,VAKATURAGA INAITAUBA VUA NA TUI NADI,,
864,,CAKAUDROVE,CAKAUDROVE,SOMOSOMO,LALAGAVESI VUA NA TURAGA NA BALE NA TUI CAKAU NA VUV NI VANUA O CAKAUDROVE,,
865,,,,LAMINI,VAKATURAGA  VALELEVU I VUNIDAWA VUA NA GONE TURAGA NA VUNIVALU  NA TUI SOMOSOMO,,
866,,,,LOA,VAKATURAGA I NA VANUA NAKABUTA VUA NA TURAGA MAI NAKABUTA,,
867,,,,WELAGI,"VAKATURAGA I NASUVA , NA MARAMA VUNISA NA TUI TAVEUNI",,
868,,,,LOVONIVONU,"VAKATURAGA I SOKULA, RABE VEI IRA NA TUI RABE",,
869,,,,NAKOBO,VAKATURAGA I KOROCAU VEI IRA NA TURAGA NA TUI KOROCAU,,
870,,,,BAGASAU,VAKATURAGA I NAVUNI VUA NA NA TURAGA NA KENA ITAUKEI,,
871,,,,NANUCA,VAKATURAGA SAKA I WAILEVU VUA NA TAUKEI WAILEVU,,
872,,,,DAKUNIBA,VAKATURAGA I MABUCO VAU NA TURAGA NA TUI MABUCO,,
873,,,,TAVUKI,VAKATURAGA I DELAIVADRA VUA NA TUI TAVUKI,,
874,,,,VUNIKURA,VAKATURAGA I NA NOQU TUVATUVA REWA I MABUCO VUA NA GONE TURAGA NA TUI MABUCO,,
875,,,,YACATA,VAKATURAGA I YACATA VUA NA TURAGA NA TUI YACATA,,
876,,,,NAWI,VAKATURAGA I NADARAGA VUA NA NA TUI NADARAGA,,
877,,,LAUCALA,DREKETI,"VAKATURAGA I NASOVU, VUANISINU NA TUI LAUCALA",,
878,,,,KOCOMA,VAKATUGA I MABA VUA NA TURAGA NA TUI MABA,,
879,,,,NAQELELEVU,RAMASI VUA NA TURAGA NA  TUI NAQELELEVU,,
880,,,,TOGO,VAKATURAGA I VUANICAUA VUA NA TURAGA NA TUI QARANIYA!U,,
881,,,,YANUCA,VAKATURAGA SAKA INA MATAQALI O QILO VUA NA TURAGA NA TUI QAMEA,,
882,,,NATEWA,VUSASIVO,VAKATURAGA I VUANISAIKI VUA NA TURAGA NA TUI VUSARATU,,
883,,,,NADAVACI,"VAKATURAGA I NA VANUA VUANISAIKI VUA NA TUI VOSASIVO, LOMA NI MATAQALI O NAKAULAU",,
884,,,,BUCA,VAKATURAGA I KAMA VUA NA TURAGA NA TUI KAMA,,
885,,,,NATEWA,VAKATURAGA I SOVATABUA NA TURAGA NA VUNIVALU,,
886,,,,DAWA,"SOVANATABUA NA TURAGA VUNIVALU E NATEWA, LOMANI KENA MATAQALI I NAUTOVUSO",,
887,,,,TUKAVESI,VAKATURAGA I NAVAKI VUA NA TURAGA NA RAVOUVOU,,
888,,,,VUSARATU,VAKATURAGA I VUSARATU NA TUI VUSA,,
889,,,NAVATU,LEA,VAKATURAGA INA VANUA O LOA VUA NA TURAGA NA TUI LOA,,
890,,,,KOROLEVU,VAKATURAGA I KOROLEVU VUA NA TUI KOROLEVU,,
891,,,,KORONATOGA,VAKATURAGA INA VANUA VUNIDAWA VUA NA TUI VUNIDAWA ,,
892,,,,NASINU,"VAKATURAGA I KUBULAU VUNISAWANA , NUKULOA VUA NA TUI NUKULOA",,
893,,,,NAVAKAKA,VAKATURAGA I NAQOROVAKARUA VUA NA TUI NAVATU,,
894,,,,DREKENIWAI,VAKATURAGA INA LOMA NI YAVUSA O NAVATU VUA NA TURAGA NA TUI NAVATU,,
895,,,,VIANI,VAKATURAGA I NASIMA VUA NA TURAGA NA TUI NAVADRA,,
896,,,,TABIA,VAKATURAGA INA VANUA O VUNIDAWA VUA NA TURAGA NA VUNIDAWA,,
897,,,NASAVUSAVU,NUKUBALAVU,VAKATURAGA I NASAVUSAVU VUA NA TURAGA NA TUI NASAVUSAVU,,
898,,,,NAGIGI,VAKATURAGA DEWALA VUA NA TURAGA NA TUINISA,,
899,,,,NAIDI,VAKATURAGA I NASAVUSAVU VUA NA TURAGA NA TUI NASAVUSAVU,,
900,,,,YAROI,VAKATURAGA I YAROI VUA NA KENA ITAUKEI,,
901,,,,WAIVUNIA,VAKATURAGA I NAVATUMA VUA NA KENA ITAUKEI,,
902,,,,VIVILI,VAKATURAGA I ONOVA VUA NA TURAGA NA TUI ONOVA,,
903,,,,SAVUDRODRO,VAKATURAGA I NAULANA VUA INA KENA VEILIUTAKI,,
904,,,,NACEKORO,VAKATURAGA I NASAVUSAVU VUA NA TURAGA NA TUI NASAVUSAVU,,
905,,,,NACAVANADI,VAKATURAGA DEWALA VUA NA TURAGA NA TUINISA,,
906,,,VUNA,KOROVOU,VAKATURAGA INA VANUA O NASIMA I TUI VUA/ SAU NI VANUA O VUNA,,
907,,,,KANACEA,VAKATURAGA I NAULUVATU VUA NA GONE TURAGA NA TUI KANACEA,,
908,,,,NAVAKAWAU,VAKATURAGA I VUNA VUA NA TURAGA NA DAKUNIVANUA,,
909,,,WAINIKELI,QELENI,VAKATURAGA I NA VUANIBOKOI/WAINIKELI VUA NA TURAGA TUWEI,,
910,,,,LAVENA,VAKATURAGA I BOUMA VEIRA NA VUNISA /  VAKATURAGA I LAVENA VEI IRA NA TUI LAVENA,,
911,,,,KOROVOU,VAKATURAGA I BOUMA VEI IRA NA TURAGA NA VUNISA,,
912,,,,NAIVIVI,VAKATURAGA I NA VANUA I !OROVATU VUA NA GONE TURAGA SAUVOU I !OROVATU,,
913,,,,NADILO,VAKATURAGA I KOROVATU VUA NA TUI KOROVATU / MANUTE VUA NA TUI MANUTE,,
914,,,,NASELESELE,VAKATURAGA VUA NI BO?OI,,
915,,,,VIDAWA,VAKATURAGA I LEKUTU VUA NA TUI LEKUTU NA VUNIVALU,,
916,,,,WAITABU,VAKATURAGA INASAU VUA NA GONETURAGA NA TUI NASAU,,
917,,,TUNULOA,KANAKANA,VAKATURAGA I NAVESIBASAGA VEI IRA NA RAKAU,,
918,,,,KAROKO,VAKATUARA I NAILOU VUA NA TURAGA NA MAI NAILOU,,
919,,,,KOROIVONU,VAKATURAGA I NAMAKITA VEI IRA NA TUI TUNULOA,,
920,,,,NAILOU,VAKATURAGA I NAILOU VUA NA TURAGA NA TUI NAILOU,,
921,,,,WAILEVU,VAKATURAGA I NAMAKITA VEI IRA NA TUI TUNULOA,,
922,,,,MUANA,"VAKATURAGA INA VANUA E VALELEVU MAKITA VUA NA TURAGA NA TUI TUNULOA, I WAINI VUA MAI NA WAINI",,
923,,,,NAQARAUTU,"VAKATURAGA I NAQARAUTU, NA TURAGA SAUVOU",,
924,,,,NAVETAU,"VAKATURAGA I NAMAKITA VEI IRA NA TUI TUNULOA, INA MATAQALI O VALELEVU VUA NA KENA ITAUKEI",,
925,,,,SALIA,VAKATURAGA IDEVO VEI IRA NA TUI CAKE,,
926,,,VATUROVA,KOROTASERE,"VAKATURAGA I NAKASE , NA GONE TURAGA NA TUI VATUROVA",,
927,,,,LEKUTULEVU,VAKATURAGA I LEKUTULEVU  VUA NA KENA ITAUKEI,,
928,,,,NAKUKU,NAKASE VUA NA TUI VATUROVA E VATUROVA VUA NA KENA ITAUKEI,,
929,,,,VATUKUCA,"VAKATURAGA I NAKASE VUA NA TUI VATUROROVA, VALELEVU I NADI",,
930,,,,KOROKOLI,"VAKATURAGA I NAKASE , NA GONE TURAGA NA TUI VATUROVA",,
931,,,,NAYARABALE,VAKATURAGA I WACAWACA VUA NA TURGA NA TUI NAYARABALE,,
932,,,,DOMOKAVU,VAKATURAGA I NABOUTINI VUA NA MAI BURELEVU,,
933,,,,SEAVACI,VAKATURAGA I RAVINIVATU VUA NA KENA ITAUKEI,,
934,,,,VANUAVOU,VAKATURAGA I VUSA RATU VUA NA TUI VUSA RATU,,
935,,,,VATURAMULO,VAKATURAGA I TAVETA VUA NA MAI TAVETA,,
936,,,,WAVU,"VAKATURAGA I NAKASE, VUA  NA TUI VATUROVA",,
937,,,KOROALAU,NUKUBOLU,VAKATURAGA I NUKUBOLU  VUA  NA TUI KOROALAU,,
938,,,,VUINADI,VAKATURAGA I KOROALAU VUA NA TUI KOROALAU,,
939,,,,VUNIDOGOLOA,VAKATURAGA I NADAWA VUA NA KENA ITAUKEI,,
940,,,,BUCALEVU,VAKATURAGA BOLAWAQA VUA NA KENA ITAUKEI,,
941,,,,NAKAWAGA,VAKATURAGA I NUKUBOLU  VUA NA TURAGA NA TUI KOROALAU,,
942,,,,NABUA,VAKATURAGA I YAVUSA TAKALA VUA NA KENA ITAUKEI,,
943,,,WAIRIKI,NAVAKURU,WAIRIKIBUCA VUA NA TURAGA NA TUI WAIRIKI,,
944,,,,SUWENI,WAIRIKICAKE VUA NA TURAGA NA TUI WAIRIKI,,
945,,,,SATULAKI,VAKATURAGA I DEWALA VUA NA TURAGA NA TUI DEWALA,,
946,,,,MATALOLO,VAKATURAGA I VANUA TABU VUA NA TURAGA NA KOROALAU,,
947,,,NAWENI,NAWENI,VAKATURAGA I BAULEKA VUA NA TURAGA NA TUI NAWENI,,
948,,,,DROMUNINUKU,VAKATURAGA I BAULEKA VUA NA TURAGA NA TUI NAWENI,,
949,,,,TACILEVU,TACILEVU VUA NA TUI TACI,,
950,,,SAQANI,SAQANI,"VAKATURAGA I LALAGAVESI VUA NA TUI CAKAU, VALELEVU NATADRA VUA NA BULI SAQANI",,
951,,,,MALAKE,VAKATURAGA I DAWATO VUA NA TUI DAWATO,,
952,,,,BIAUGUNU,VAKATURAGA I WAINIBU VUA NA KENA ITAUKEI,,
953,,,,NABOUTINI,VAKATURGA I NAUTOSOLOVUA NA KENA TAUKEI,,
954,,,,NAVETAU,VAKATURAGA I VICALEA NA KENA I TAUKEI,,
955,,,,NATUVU,"VAKATURAGA I  VALELEVU VUA NA BULI SAQANI, KOROLOLO VUA NA KENA ITAUKEI",,
956,,,,LAKEBA,VAKATURAGA I VUNIDRUGU VUA NA KENA ITAUKEI,,
957,,,,SESE,VAKATURAGA IVUNIVATU VUA NA KENA ITAKEI,,
958,,,,VUNIWAI,VAKATURAGA I TEITEICIVA VUA NA TURAGA NA TUI VANUALEVU,,
959,,,,MARAVU,VAKATURAGA I DAWATO VUA NA TUI DAWATO,,
960,,,,VALOVONI,VAKATURAGA I NATOA VUA NA KENA ITAUKEI,,
961,,,,NACULA,VAKATURAGA I NAMEDRO NA KENA ITAUKEI,,
962,,,,NADOGO,VAKATURAGA I BOLAWAQA VUA NA KENA ITAUKEI,,
963,,,TAWAKE,TAWAKE,"VAKATURAGA I KOROIVOCO, VUA NA TURAGA NA VUNIVALU",,
964,,,,NAGASAUVA,"VAKATURAGA I KOROIVOCO, VUA NA TURAGA NA VUNIVALU",,
965,,,,YASAWA,"VAKATURAGA I CUKU VUA NA YALAI NA TURAGA NA TUI CUKU, MATAVUVALE VANUA KOROISAVUKA",,
966,,,,VATU,"VAKATURAGA I MUANAICAKE , TUI CUKU",,
967,,,,WAINIGADRU,"VAKATURAGA I KOROIVOCO, VUA NA TURAGA NA VUNIVALU",,
968,,,WAILEVU,WAILEVU,VAKATURAGA I NAVESI NA TUI WAILEVU,,
969,,,,VALENI,VAKATURAGA VUA NA MASILEVU E TUBU LEVU,,
970,,,,NAYARAILAGI,VAKATRURAGA I SEAQAQA NA TURAGA NA KOMAI IVUNIMALA,,
971,,,,BATIRI,VAKATURAGA I NAMUNAWAI ENA KENA ITIKOTIKO VAKATURAGA,,
972,,,,NAIQAQI,NATOAVATU VUA NA TURAGA NA TUI  NATOAVATU,,
973,,,,VATUVONU,NATOAVATU VUA NA TURAGA NA TUI  NATOAVATU,,
974,,,,VUNIDAWAMOLI,VAKATURAGA I NAKASOVESI VUA NA TURAGA NA TUI NAULANA,,
975,,,,NATUVU,VAKATURAGA I NAKOROSAKA VUA NA RAMASI TU NAVATU,,
976,,,,LAUCALA,VAKATURAGA I LAUCALA VUA NA TUI LACALA,,
977,,,,VUADOMO,VAKATURAGA I VUADOMO INA KENA ITAUKEI(KORO)/ IMUANIVATU ENA KENA TIKOTIKO VAKATURAGA I MUA (INA YAVUSA),,
978,,,,URATA/ NADAMOLE,MUANIVATU NA TUI MUANIVATU,,
979,,,,NABACI,VAKATURAGA I SOLOVE VUA NA KENA ITAUKEI,,
980,,,,DREKETI,NAVESI NA TUI WAILEVU,,
981,,,,VUNIVESI,NATOAIKA NA KENA ITAUKEI,,
982,,,,NALOALOA,DREKENIWAI NA KENA ITAUKEI,,
983,,,,NABALEBALE,NASAWANA VUA NA TURAGA NA ITAUKEI NASAWANA,,
984,,,,LEVUKA,VAKATURAGA I NASOGOCAUCAU VUA NA KENA ITAUKEI/ VAKATURAGA I DRAKANIWAI VUA NA KENA ITAUKEI,,
985,,,,BAGATA,NAVATUKAWA NA KENA ITAKUEI,,
986,,,,VATULELE,MUANIVATU NA TUI MUANIVATU,,
987,,,,KEKA,NATOAVATU VUA NA TURAGA NA TUI  NATOAVATU,,
988,,,,DAWARA,VAKATURAGA I YANAWAI VUA NA TUI YANAWAI,,
989,,,,JERUSALEMI/ NABACI,VAKATURAGA I SOLOVEUNEUNE VUA NA KENA ITAUKEI,,
990,,,,VAKATIVA,DREKENIWAI NA KENA ITAUKEI,,
991,,,,WAISALI,VAKATURAGA I WAISALIVUA NA KENA ITAUKEI,,
992,,,,NAKASA, VAKATURAGA I VADRANI VUA NA TUI VADRANI / KENA I TAUKEI,,
993,,,,NATUA,VAKATURAGA I NAULANA VUA NA KENA I VEILIUTAKI,,
994,,LAU,LAKEBA ,TUBOU,VAKATURAGA I VUANI REWA NA TUI NAYAU NA SAU NI VANUA O LAU NA TUI LAU,,
995,,,,LEVUKA,VAKATURAGA I DELAIKOROLEVU VUA NA DAU LAKEBA,,
996,,,,NASAQALAU,VAKATURAGA I NASEUVOU VUA NA RAMASI,,
997,,,,VAKANO,VATURAGA I ATAPU VUA NA TUIRA,,
998,,,,YADRANA,VAKATUERAGA I DREKEIVUCI  VUA NA TUIRA,,
999,,,,NUKUNUKU,VAKATURAGA INA YAVUSA MUANAKAULI VUA NA TUI SOSO,,
1000,,,,WAITABU,VAKATURAGA INA YAVUSA WAITABU VATULIGILIGI NA TURA,,
1001,,,,WACIWACI,VAKATURAGA I LOMANIKORO VUA NA TUI WACIWACI,,
1002,,,MUALEVU ,MUALEVU, SENIMOLI VUA NA SAU KEI MUALEVU NA TUI MAVANA  .,,
1003,,,,MAVANA,VAKATURAGA INA YAVUSA QALITU VUA NA TURAGA NA TUI KOBUCA,,
1004,,,,CIKOBIA,YAVUSA MATANACAGI VUA NA TURAGA NA TUI CIKOBIA,,
1005,,,,BOITACI,VATURAGA INA YAVUSA SALIA VUA NA TURAGA NA TUI BOI,,
1006,,,,AVEA,VAKATURAGA I DELAITOVA NA TURAGA NA TUI MUNIA,,
1007,,,,MUAMUA,YAVUSA MUAMUA VUA NA TURAGA NA TUI MUAMUA,,
1008,,,,MALAKA,MALAKA VUA NA TURAGA NA TUI MALAKA,,
1009,,,,DALICONI,VAKATURAGA INA YAVUSA WAITUI VUA NA TURAGA NA TUI DAKU,,
1010,,,LOMALOMA ,LOMALOMA,QALA VUA NA RAVUNISA/ BUCA VUA NA RASAU/ NATURUKU VUA NA TUI NATURUKU,,
1011,,,,SAWANA,YAVUSA TOGA VUA NA TURAGA NA TUI LAU,,
1012,,,,SUSUI,VANUANAWA VUA NA TUI SUSUI,,
1013,,,,DAKUILOMALOMA,VUEJI VUA NA TUI DAKU,,
1014,,,,NAROVICO,KAVIKA VUA NA TUI NAROVICO,,
1015,,,,NAMALATA,VUNIIVI VUA NA TUI NAMALATA,,
1016,,,,URUONE,YAVUSA NAVUSAQA VUA NA TURAGA NA TUI URUONE,,
1017,,,,LEVUKANA,NAMASI VUA NA TUI LEVIKANA,,
1018,,,,TUVUCA,"NASOKENIVATU , NA RAMASI",,
1019,,,CICIA ,TARUKUA,"NAULUVATU VUA NA TUI TARU,  WALAKEWA VUA NA TURAGA NA TUI CICIA",,
1020,,,,LOMAJI,TABUTOGA VUA NA TURAGA NA TUI LOMAJI,,
1021,,,,NATOKALAU,LOMANIKORO VUA NA TURAGA NA TUI NATOKALAU,,
1022,,,,NACEVA,KOROLEVU VUA NA TUI NACEVA,,
1023,,,,MABULA,NAVUAIVALU VUA NA TURAGA NA TUI MABU,,
1024,,,MOALA ,NAROI,WAILIWALIWA VUA NA VANUA MOALA,,
1025,,,,NASOKI,DAVETALEVU VUA NA TUI NASOKI,,
1026,,,,KETEIRA,NAKOROWAIWAI VUA NA TUI KETEIRA,,
1027,,,,VUNUKU,MANUKUICAKE VUA NA TUI VUNUKU,,
1028,,,,CAKOVA,KETEILOMA VUA NA TUI CAKOVA,,
1029,,,,VADRA,VAUA VUA NA TUI VAUA,,
1030,,,,MALOKU,MALOKU VUA NA TUI MALOKU,,
1031,,,,MUAKACUNI,MUAKACUNI VUA NA TUI MUA,,
1032,,,TOTOYA ,TOVU,MATAILAKEBA VUA NA TURAGA NA ROKOSAU,,
1033,,,,KETEI,NAVEIRUARUA VUA NA TURAGA RAMALO NA TUI KETEI,,
1034,,,,DRAVUWALU,NAKOROWAIWAI VUA NA TURAGA NA TUI DRAVUWALU,,
1035,,,,UDU,MUAICAKOLAU  VUA NA TURAGA MNA TUI UDU,,
1036,,,,VANUAVATU,NAULUVATU VUAN ATUI VANUA,,
1037,,,MATUKU,YAROI,YAROI VUA NA TUI MATUKU,,
1038,,,,NATOKALAU,NATOKALAU VUA NA VAKA,,
1039,,,,QALIKARUA,QALIKARUA VUA NA RAMASI,,
1040,,,,LEVUKAIDAKU,WAILIWALIWA VUA NA RATU,,
1041,,,,MAKADRU,DAKU VUA NA TUI DAKU,,
1042,,,,LOMATI,LOMATI VUA NA TUI LOMATI NA TUI MATUKU,,
1043,,,,RAVIRAVI,RAVIRAVI VUA NA TUI RAVIRAVI,,
1044,,,NAYAU ,LIKU,VAKATURAGA KINA YAVUSA LIKU VUA NA GONE TURAGA NA TUI LIKU,,
1045,,,,NAROCIVO,YAVUSA MAUMI GONETURAGA NA TUI NARO,,
1046,,,,SALIA,VAKATURAGA INA YAVUSA DEVOBALAVU VUA NA GONE TURAGA NA TUI DEVO,,
1047,,,ONEATA ,WAIQORI,BUKATATANOA VUA NA TUI ONEATA,,
1048,,,,DAKUILOA,BUKATATANOA VUA NA TUI ONEATA,,
1049,,,MOCE,NASAU,"DEALAIMAKUTU VUA NA TURAGA NA RAMASI , NA TUI MOCE",,
1050,,,,KOROTOLU,"DELAIMAKOTU VUA NA TURAGA NA RAMASI , NA TUI MOCE",,
1051,,,KABARA ,NAIKELEYAGA,NAKORO VUA NA TUI KABARA,,
1052,,,,TOKALAU,NUKULEKA VUA NA TUI TOKALAU ; DELAIOLO VEI RATOU SA MATUA,,
1053,,,,LOMAJI,NUBURAVI VUA NA TUI LOMAGI,,
1054,,,,UDU,VUNIGIAGIA VUA NA TUI  UDU,,
1055,,,,KOMO,DELAIKOMO VUA NA TURAGA NA TUI KOMO ,,
1056,,,VULAGA ,MUANAIRA,NAKOROILOMA/ MUANAIRA VUANA TURAGA NA TUI MUANAIRA/TUI EBA/TUI RA,,
1057,,,,MAUANAICAKE,VANUASEVU VUA NA TURAGA NA TUI VULAGA,,
1058,,,,NAIVIDAMU,"MUANIVANUA VUA NA TURAGA NA TUI NAIVI, TAKALA NI VANUA",,
1059,,,,OGEA,"MUANIVANUA VAU NA TURAGA NA TUI NAIVI, TAKALA NI VANUA",,
1060,,,ONO ,NUKUNI,NADURUVESI VUA NA TUI ONO; VAKATURAGA I CAKAUSEYAWA VUA NA TUI ONO,,
1061,,,,LOVONI,ONOLEVU VUA NA TUI LOVONI;NADURUVESI VUA NA TUI ONO;CAKAUSEYAWA NA TUI ONO,,
1062,,,,DOI,LOMANIKORO VUA NA TUI DOI; NADURUVESI VUA NA TUI ONO,,
1063,,,,MATOKANA,NADURUVESI VUA NA TUI ONO; VAKATURAGA I CAKAUSEYAWA VUA NA TUI ONO,,
1064,,,,VATOA,YAVUSA VATOA VUA NA TUI VATOA,,
1065,,MACUATA,MACUATA ,NADURI,VAKATURAGA I CAUMATALEVU VUA NA TUI MACUATA,,
1066,,,,NAMAMA,"VAKATURAGA INA YAVUSA O NAMAMA I VALELEVU BOLATAGANE, VUA NA TUI CAUMATALEVU",,
1067,,,,NABUKADOGO,VAKATURAGA I NAMOLI VUA NA TAUKEI KOROLEVU,,
1068,,,,NABOUONO,VAKATURAGA I NABOUONO VUA NA RATU NI NABOUONO,,
1069,,,,MACUATA-I-WAI,"VAKATURAGA I BOLATAGANE, VUA NA TUI CAUMATALEVU",,
1070,,,,NASEA,VAKATURAGA I NABALEVU VUA NA TAUKEI NABALEVU,,
1071,,,,NAQUMU,VAKATURAGA INA YAVUSA NAVAKALAMA VUA NA ITAUKEI NAVALAMA,,
1072,,,,NIURUA,NAMOLI VUA NA ITAUKEI NI KOROLEVU,,
1073,,,,NAIVIDAMU,VAKATURAGA I NAWAIVUVU VUA NA GONE TURAGA NA TUI LIGAU LEVU,,
1074,,,,RAVIRAVI,"VAKATURAGA I MATAINUBULEVU, TIKOTIKO VAKATURAGA I NAVATUDUA",,
1075,,,,NAKALOU,VAKATURAGA SAKA I NABEKAVUVUA SAKA NA GONETURAGA NA VUNIVALU,,
1076,,,,YARO/KIA,VAKATURAGA IVALELEVUI NAWAIVUVU NA GONE TURAGA NA TUI MACUATA,,
1077,,,,NASUVA,VAKTURAGA ICUQUMA VUA NA RATU MAI CUQUMA,,
1078,,,,DAKU,VAKATURAGA IVALELEVUI NAWAIVUVU NA GONE TURAGA NA TUI MACUATA,,
1079,,,,BUAVOU,VAKATURAGA I NAWAVE NA KENA ITAUKEI,,
1080,,,SEAQAQA,NARAVUKA,NARAVUAKA VUA NA TURAGA NA KOYAMAI NARAVUKA/ SEAQAQA VUA NA MSAI NI VANUA O SEAQAQA,,
1081,,,,NACEREYAGA,VAKATURAGA SAKA I VOLIVOLI VUA NA KENA ITAUKEI,,
1082,,,,BATIRI,VAKATURAGA I SEAQAQA NA TURAGA NA KOYAMAI VUNIMALA,,
1083,,,,NAYARAILAGI,VAKATURAGA SAKA I NAMUNAWAI ENA KENA TIKOTIKO VAKATURAGA,,
1084,,,,NANENIVUDA,VAKATURAGA I TAMONIBUCA,,
1085,,,,NAVESIDRUA,"VUNIVAKAWARA, TAMONIBUA VUA NA TURAGA NA TUI WALU",,
1086,,,,SAIVOU,"VAKATURAGA I WAWAI, KENA ITIKOTIKO I NAREWA VUA NA MARAMA ILIULIU NI YAVUSA",,
1087,,,,NACAUROKOVI/LOMALOMA,VAKATURAGA I DAKUNIVLE ENA KENA TOIKOTIKO VAKATURAGA,,
1088,,,NADOGO,SOGOBIAU,VAKATRURAGA I VALELEVU I TOROCAKE VUA NA TURAGA NA TUI NADOGO,,
1089,,,,NUBU,VAKATURAGA I NUBU VUA SAKA NA TURAGA NA TUI NUBU,,
1090,,,,NABUTUBUTU,VAKATURAGA I NUBU VUA SAKA NA TURAGA NA TUI NUBU,,
1091,,,,NAIKELIKOSO,"VAKTURAGA I NUBU VUA NA GONETURAGA NA TUI NUBU, I VALESIVI",,
1092,,,,NAVUKEBULI,VAKATURAGA I SAVU VUA NA KENA ITAUKEI,,
1093,,,,NASASA,VAKATURAGA I NALAGI VUA NA KENA ITAUKEI,,
1094,,,,VUNIVUTU,VAKATURAGA I SAWANA VUA NA TUI SAWANA,,
1095,,,,KAVEWA,VAKATURAGA I KAVEWA VUA NA KENA ITAUKEI,,
1096,,,,MOUTA,VAKATURAGA I MOUTA I VALELEVUVEINIUNIU VUA SAKA NA KENA ITAUKEI,,
1097,,,,NAQILI,VAKATURAGA I SAWAKA NA ITIKOTIKO SA TAWANI TIKO,,
1098,,,DREKETI,NABAVATU,"VAKATURAGA I ULUITOGA, UANISAU VUA NA VUNIVALU",,
1099,,,,NABITI,"VAKATURAGA I ULUITOGA, UANISAU VUA NA VUNIVALU",,
1100,,,,NAKANACAGI,YAVUSA NAUA ENA MATAQALI O NAKOROKALOU ENA TIKOTIKO VAKATURAGA I NASOGOMATE,,
1101,,,,VUNISEA,VAKATURAGA I LUTUKOBAU ENA YAVUSA NAVUTUREREGA,,
1102,,,,LUTUKINA,"VAKATURAGA I LUTUKINA, LUALUA VUA NA IMASINIBATI",,
1103,,,,NASIGASIGA,VAKATURAGA I NABUNA VUA NA TURAGA NA TUI NABUNA,,
1104,,,,VUINAQALUTU,"VAKATURAGA I BAVAKANAUA, NAKOROKALOU INA YAVUSA NAUA",,
1105,,,LABASA ,NASEAKULA,VAKATUAGA IVALELEVU I WASAVULU VUA NA TURAGA NA TUI LABASA,,
1106,,,,NAKOROWIRI,VAKATURAGA I WAISAVULU INA YAVUSA VAKATURAGA QOIBAU,,
1107,,,,BATINIKAMA,VAKATURAGA I WAILEA  INA LOMA NI YAVUSA MUANICULA,,
1108,,,,VUNIMOLI,ITIKOTIKO,,
1109,,,,NABUNIKAVULA,"VAKATURAGA I WASAVULU, KOIBAU TURAGA TUI LABASA",,
1110,,,,BULILEKA,VAKATURAGA I WAVOSAVOSA VUA NA MARAMA NA KENA ITAUKEI,,
1111,,,,LOVELOVE,VAKATURAGA I MATAKUTA LOVELOVE VUA NA KENA ITAUKEI,,
1112,,,,DREKETILAILAI,VAKATURAGA IVALELEVU I NAKUKA NA KENA ITAUKEI,,
1113,,,,QELEMUMU,"VAKATURAGA IMATAUTA, LOVELOVE VUA NA LIULIU NI YAVUSA, ENA VANUA VAKA QAWA",,
1114,,,,RARANIBULUBULU,VAKATURAGA I BUCAISAU NA TURAGA NA KENA ITAUKEI,,
1115,,,,VUIYAKANA,VAKATURAGA I BUCAISAU IYAKANA NA TURAGA NA KENA ITAULEI,,
1116,,,,MATANIWAI,VAKATURAGA I LOVONIVONU VUA NA GONRTURAGA NA KENA ITAUKEI,,
1117,,,,VUNIVAU,VAKATURAGA I VALELEVU I NAWAVOSAVOSA,,
